종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
228340,동양파일,"8,560","-170","1.95","8,590","8,560","44,005","379,488,770","8,640","8,770","8,560","500",원(KRW),"20,000,000","171,200,000,000",
104460,동양피엔에프,"5,320","-140","2.56","5,350","5,320","30,402","162,529,910","5,450","5,450","5,310","500",원(KRW),"10,713,625","56,996,485,000",
088910,동우,"4,195","-75","1.76","4,210","4,195","143,977","609,038,740","4,325","4,325","4,190","500",원(KRW),"22,860,000","95,897,700,000",
094170,동운아나텍,"11,500","-50","0.43","11,500","11,450","17,948","204,711,200","11,600","11,600","11,200","500",원(KRW),"5,991,000","68,896,500,000",
013120,동원개발,"4,625","-85","1.80","4,690","4,625","60,277","282,938,525","4,685","4,725","4,625","500",원(KRW),"90,808,100","419,987,462,500",
109860,동일금속,"9,360","-120","1.27","9,480","9,360","2,037","18,972,590","9,310","9,360","9,270","500",원(KRW),"7,000,000","65,520,000,000",
032960,동일기연,"13,850","-500","3.48","14,050","13,850","6,053","84,209,250","14,200","14,200","13,850","500",원(KRW),"5,776,374","80,002,779,900",
023790,동일철강,"5,400","170","3.25","5,400","5,360","105,468","571,579,460","5,360","5,740","5,200","500",원(KRW),"7,345,085","39,663,459,000",
005290,동진쎄미켐,"8,870","-140","1.55","8,870","8,850","545,922","4,828,883,640","9,010","9,010","8,710","500",원(KRW),"47,432,263","420,724,172,810",
025900,동화기업,"35,000","-650","1.82","35,000","34,900","18,745","661,989,300","35,900","35,900","34,850","500",원(KRW),"14,356,756","502,486,460,000",
078590,두올산업,"2,530","40","1.61","2,535","2,530","342,307","866,953,510","2,485","2,585","2,485","500",원(KRW),"12,875,270","32,574,433,100",
030350,드래곤플라이,"7,190","-40","0.55","7,220","7,190","33,625","243,720,230","7,230","7,370","7,080","500",원(KRW),"14,762,103","106,139,520,570",
073190,디비케이,"2,280","10","0.44","2,280","2,270","21,343","48,453,365","2,335","2,335","2,255","500",원(KRW),"11,968,040","27,287,131,200",
066670,디스플레이텍,"4,080","-110","2.63","4,100","4,080","75,827","311,459,660","4,195","4,195","4,080","500",원(KRW),"18,691,918","76,263,025,440",
109740,디에스케이,"39,700","400","1.02","39,800","39,700","176,584","7,151,111,200","39,500","42,000","39,500","500",원(KRW),"6,500,000","258,050,000,000",
090710,디에스티로봇,"6,440","30","0.47","6,440","6,420","140,862","905,818,250","6,410","6,540","6,320","500",원(KRW),"9,493,166","61,135,989,040",
131030,디에이치피코리아,"8,430","-100","1.17","8,430","8,420","49,537","417,279,740","8,500","8,580","8,380","500",원(KRW),"16,564,797","139,641,238,710",
196490,디에이테크놀로지,"13,600","-300","2.16","13,600","13,550","245,433","3,363,962,850","14,000","14,350","13,250","500",원(KRW),"6,043,686","82,194,129,600",
066900,디에이피,"3,925","-50","1.26","3,925","3,920","22,110","86,970,160","3,995","4,020","3,865","500",원(KRW),"22,744,503","89,272,174,275",
127120,디엔에이링크,"8,430","-170","1.98","8,550","8,430","35,400","301,061,020","8,670","8,700","8,370","500",원(KRW),"6,278,496","52,927,721,280",
