종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
000680,LS네트웍스,"3,185","-35","1.09","3,185","3,165","25,737","82,033,985","3,225","3,250","3,140","5,000",원(KRW),"78,803,016","250,987,605,960",
010120,LS산전,"39,700","-2,950","6.92","39,750","39,700","369,036","14,850,036,650","42,000","42,400","39,700","5,000",원(KRW),"30,000,000","1,191,000,000,000",
023150,MH에탄올,"8,000","-50","0.62","8,000","7,980","23,634","188,814,680","8,000","8,070","7,950","500",원(KRW),"7,378,526","59,028,208,000",
035420,NAVER,"860,000","1,000","0.12","860,000","859,000","80,359","69,608,276,990","871,000","876,000","855,000","500",원(KRW),"32,962,679","28,347,903,940,000",
181710,NHN엔터테인먼트,"52,200","-700","1.32","52,300","52,200","44,359","2,320,595,600","52,600","52,900","51,800","500",원(KRW),"19,565,025","1,021,294,305,000",
005940,NH투자증권,"10,200","-50","0.49","10,250","10,200","381,540","3,907,924,050","10,300","10,350","10,150","5,000",원(KRW),"281,408,887","2,870,370,647,400",
005945,NH투자증권우,"7,070","-60","0.84","7,080","7,070","29,274","207,188,700","7,110","7,110","7,070","5,000",원(KRW),"18,870,968","133,417,743,760",
034310,NICE,"17,300","-100","0.57","17,350","17,300","13,041","226,889,000","17,450","17,550","17,050","500",원(KRW),"37,882,300","655,363,790,000",
008260,NI스틸,"3,135","15","0.48","3,135","3,130","122,969","385,275,075","3,120","3,165","3,110","500",원(KRW),"28,426,850","89,118,174,750",
004250,NPC,"5,960","110","1.88","5,960","5,850","6,494","38,184,250","5,860","5,960","5,850","500",원(KRW),"36,720,000","218,851,200,000",
004255,NPC우,"3,000","-25","0.83","3,000","2,995","924","2,770,885","3,040","3,040","2,995","500",원(KRW),"5,280,000","15,840,000,000",
010060,OCI,"93,300","-500","0.53","93,400","93,300","127,966","11,943,183,500","94,600","94,900","92,200","5,000",원(KRW),"23,849,371","2,225,146,314,300",
005490,POSCO,"235,500","-7,500","3.09","235,500","235,000","1,268,910","299,179,849,500","236,000","238,000","234,000","5,000",원(KRW),"87,186,835","20,532,499,642,500",
100840,S&TC,"17,300","30","0.00","17,400","17,300","12,045","208,090,650","17,300","17,450","17,000","500",원(KRW),"7,084,612","122,563,787,600",
064960,S&T모티브,"42,750","550","1.30","42,750","42,600","49,979","2,145,608,250","41,550","43,650","41,450","5,000",원(KRW),"14,623,136","625,139,064,000",
003570,S&T중공업,"9,330","20","0.21","9,330","9,280","33,417","309,591,400","9,210","9,360","9,170","2,500",원(KRW),"32,473,439","302,977,185,870",
036530,S&T홀딩스,"15,500","-150","0.96","15,600","15,500","16,648","258,751,450","15,500","15,750","15,450","500",원(KRW),"15,830,105","245,366,627,500",
010950,S-Oil,"80,000","100","0.13","80,000","79,900","259,018","20,691,208,700","79,100","81,100","78,400","2,500",원(KRW),"112,582,792","9,006,623,360,000",
010955,S-Oil우,"52,800","1,000","1.93","52,800","52,700","21,040","1,105,969,800","51,800","52,900","51,500","2,500",원(KRW),"4,021,927","212,357,745,600",
034120,SBS,"24,600","-400","1.60","24,700","24,600","24,550","606,099,600","24,950","25,000","24,550","5,000",원(KRW),"18,252,582","449,013,517,200",
101060,SBS미디어홀딩스,"2,915","30","1.04","2,915","2,910","71,886","209,091,285","2,885","2,930","2,885","500",원(KRW),"139,896,190","407,797,393,850",
004060,SG세계물산,"1,190","30","0.00","1,195","1,190","6,029,727","7,255,740,375","1,200","1,230","1,175","500",원(KRW),"202,424,960","240,885,702,400",
001380,SG충방,"3,185","-80","2.45","3,190","3,185","131,387","415,219,270","3,260","3,265","3,105","500",원(KRW),"41,747,470","132,965,691,950",
002360,SH에너지화학,"1,600","-15","0.93","1,605","1,600","1,041,501","1,659,873,580","1,615","1,630","1,570","500",원(KRW),"111,133,730","177,813,968,000",
009160,SIMPAC,"5,010","-40","0.79","5,010","5,000","50,626","253,653,285","5,020","5,050","4,990","500",원(KRW),"29,084,925","145,715,474,250",
123700,SJM,"6,250","-10","0.16","6,260","6,250","69,727","434,579,250","6,240","6,270","6,150","500",원(KRW),"15,604,898","97,530,612,500",
025530,SJM홀딩스,"5,430","-20","0.37","5,440","5,430","4,129","22,345,420","5,450","5,460","5,380","500",원(KRW),"14,934,008","81,091,663,440",
034730,SK,"222,500","-3,000","1.33","223,000","222,500","86,743","19,281,432,000","222,500","223,500","220,500","200",원(KRW),"70,360,297","15,655,166,082,500",
011790,SKC,"27,700","-600","2.12","27,700","27,650","163,670","4,533,565,750","28,250","28,250","27,550","5,000",원(KRW),"37,534,555","1,039,707,173,500",
018670,SK가스,"98,100","-1,100","1.11","98,200","98,100","13,104","1,286,521,300","97,500","99,700","97,000","5,000",원(KRW),"8,881,471","871,272,305,100",
001740,SK네트웍스,"6,620","-50","0.75","6,620","6,610","309,163","2,050,091,770","6,680","6,740","6,560","2,500",원(KRW),"248,187,647","1,643,002,223,140",
001745,SK네트웍스우,"61,100","-1,000","1.61","61,200","61,100","1,384","84,586,200","61,300","62,900","60,500","2,500",원(KRW),"113,648","6,943,892,800",
210980,SK디앤디,"46,000","300","0.66","46,000","45,650","7,934","363,687,300","45,400","46,300","45,400","1,000",원(KRW),"10,770,000","495,420,000,000",
03473K,SK우,"135,000","30","0.00","135,000","134,000","447","60,117,000","133,500","135,500","133,500","200",원(KRW),"566,135","76,428,225,000",
096770,SK이노베이션,"155,500","500","0.32","155,500","155,000","226,054","34,946,259,000","153,500","157,000","151,500","5,000",원(KRW),"92,465,564","14,378,395,202,000",
096775,SK이노베이션우,"89,900","2,500","2.86","89,900","89,700","15,579","1,399,112,600","87,400","91,000","87,300","5,000",원(KRW),"1,248,426","112,233,497,400",
001510,SK증권,"1,070","-15","1.38","1,075","1,070","1,091,618","1,176,591,885","1,090","1,095","1,070","500",원(KRW),"320,117,171","342,525,372,970",
001515,SK증권우,"1,700","-10","0.58","1,700","1,675","3,466","5,885,350","1,700","1,720","1,675","500",원(KRW),"3,912,514","6,651,273,800",
006120,SK케미칼,"61,200","-700","1.13","61,300","61,200","84,461","5,214,171,400","62,000","62,200","61,200","5,000",원(KRW),"24,303,255","1,487,359,206,000",
006125,SK케미칼우,"25,700","-150","0.58","25,700","25,600","1,211","30,988,250","25,950","25,950","25,400","5,000",원(KRW),"2,817,125","72,400,112,500",
017670,SK텔레콤,"224,500","-8,000","3.44","225,000","224,500","211,955","47,836,477,647","228,500","229,500","223,500","500",원(KRW),"80,745,711","18,127,412,119,500",
000660,SK하이닉스,"42,450","-550","1.28","42,450","42,400","2,248,621","95,709,573,100","42,700","42,950","42,100","5,000",원(KRW),"728,002,365","30,903,700,394,250",
011810,STX,"3,335","70","2.14","3,340","3,335","1,511,383","5,045,219,775","3,240","3,515","3,185","2,500",원(KRW),"29,879,710","99,648,832,850",
077970,STX엔진,"7,210","-110","1.50","7,280","7,210","38,763","281,407,860","7,280","7,380","7,150","2,500",원(KRW),"23,008,904","165,894,197,840",
